Date (GMT),Rate**
20 Oct 2014,12112
21 Oct 2014,11973
22 Oct 2014,11985
23 Oct 2014,12018
24 Oct 2014,12058
25 Oct 2014,12045
26 Oct 2014,12085
27 Oct 2014,12085
28 Oct 2014,12100
29 Oct 2014,12125
30 Oct 2014,12097
31 Oct 2014,12115
01 Nov 2014,12062
02 Nov 2014,12080
03 Nov 2014,12080
04 Nov 2014,12112
05 Nov 2014,12108
06 Nov 2014,12192
07 Nov 2014,12177
08 Nov 2014,12157
09 Nov 2014,12185
10 Nov 2014,12185
11 Nov 2014,12177
12 Nov 2014,12208
13 Nov 2014,12185
14 Nov 2014,12190
15 Nov 2014,12165
16 Nov 2014,12210
17 Nov 2014,12210
18 Nov 2014,12130
19 Nov 2014,12083
20 Nov 2014,12140
21 Nov 2014,12125
22 Nov 2014,12103
23 Nov 2014,12143
24 Nov 2014,12143
25 Nov 2014,12132
26 Nov 2014,12139
27 Nov 2014,12165
28 Nov 2014,12167
29 Nov 2014,12255
30 Nov 2014,12185
01 Dec 2014,12185
02 Dec 2014,12287
03 Dec 2014,12290
04 Dec 2014,12310
05 Dec 2014,12295
06 Dec 2014,12380
07 Dec 2014,12295
08 Dec 2014,12295
09 Dec 2014,12385
10 Dec 2014,12362
11 Dec 2014,12365
12 Dec 2014,12424
13 Dec 2014,12615
14 Dec 2014,12622
15 Dec 2014,12622
16 Dec 2014,12880
17 Dec 2014,12880
18 Dec 2014,12685
19 Dec 2014,12510
20 Dec 2014,12405
21 Dec 2014,12450
22 Dec 2014,12450
23 Dec 2014,12453
24 Dec 2014,12485
25 Dec 2014,12420
26 Dec 2014,12485
27 Dec 2014,12485
28 Dec 2014,12430
29 Dec 2014,12430
30 Dec 2014,12415
31 Dec 2014,12410
04 Jan 2015,12510
05 Jan 2015,12510
06 Jan 2015,12615
07 Jan 2015,12630
08 Jan 2015,12700
09 Jan 2015,12670
10 Jan 2015,12567.5
11 Jan 2015,12592.5
12 Jan 2015,12592.5
13 Jan 2015,12575
14 Jan 2015,12575
15 Jan 2015,12570
16 Jan 2015,12524
17 Jan 2015,12615
18 Jan 2015,12590
19 Jan 2015,12590
20 Jan 2015,12652
21 Jan 2015,12575
22 Jan 2015,12470
23 Jan 2015,12420
24 Jan 2015,12468
25 Jan 2015,12473
26 Jan 2015,12473
27 Jan 2015,12488
28 Jan 2015,12465
29 Jan 2015,12500
30 Jan 2015,12618
31 Jan 2015,12790
01 Feb 2015,12760
02 Feb 2015,12760
03 Feb 2015,12662
04 Feb 2015,12600
05 Feb 2015,12630
06 Feb 2015,12595
07 Feb 2015,12675
08 Feb 2015,12673
09 Feb 2015,12673
10 Feb 2015,12682
11 Feb 2015,12722
12 Feb 2015,12855
13 Feb 2015,12745
14 Feb 2015,12747
15 Feb 2015,12729.5
16 Feb 2015,12729.5
17 Feb 2015,12763
18 Feb 2015,12817
19 Feb 2015,12883
20 Feb 2015,12878
21 Feb 2015,12868
22 Feb 2015,12843
23 Feb 2015,12843
24 Feb 2015,12920
25 Feb 2015,12897
26 Feb 2015,12860
27 Feb 2015,12852
28 Feb 2015,13000
01 Mar 2015,12988
02 Mar 2015,12988
03 Mar 2015,12985
04 Mar 2015,12967.5
05 Mar 2015,13115
06 Mar 2015,13007
07 Mar 2015,13030
08 Mar 2015,13087.5
09 Mar 2015,13087.5
10 Mar 2015,13073
11 Mar 2015,13212.5
12 Mar 2015,13185
13 Mar 2015,13193
14 Mar 2015,13235
15 Mar 2015,13235
16 Mar 2015,13235
17 Mar 2015,13205
18 Mar 2015,13180
19 Mar 2015,13142
20 Mar 2015,13050
21 Mar 2015,13012
22 Mar 2015,13035
23 Mar 2015,13035
24 Mar 2015,12975
25 Mar 2015,12948
26 Mar 2015,12985
27 Mar 2015,13022.5
28 Mar 2015,13050
29 Mar 2015,13085
30 Mar 2015,13085
31 Mar 2015,13090
01 Apr 2015,13075
02 Apr 2015,12980
03 Apr 2015,13020
04 Apr 2015,12935
05 Apr 2015,12980
06 Apr 2015,12980
07 Apr 2015,12940
08 Apr 2015,12995
09 Apr 2015,12973
10 Apr 2015,12967
11 Apr 2015,12918
12 Apr 2015,12920
13 Apr 2015,12920
14 Apr 2015,13070
15 Apr 2015,12937.5
16 Apr 2015,12930
17 Apr 2015,12832
18 Apr 2015,12850
19 Apr 2015,12842.5
20 Apr 2015,12842.5
21 Apr 2015,13031
22 Apr 2015,12953
23 Apr 2015,12935
24 Apr 2015,12940
25 Apr 2015,12952
26 Apr 2015,12952
27 Apr 2015,12952
28 Apr 2015,12955
29 Apr 2015,12937.5
30 Apr 2015,12905
01 May 2015,12972
02 May 2015,13000
03 May 2015,13010
04 May 2015,13010
05 May 2015,13017
06 May 2015,13027
07 May 2015,13025
08 May 2015,13130
09 May 2015,13060
10 May 2015,13057
11 May 2015,13057
12 May 2015,13160
13 May 2015,13170
14 May 2015,13082
15 May 2015,13023
16 May 2015,13070
17 May 2015,13062
18 May 2015,13062
19 May 2015,13172
20 May 2015,13165
21 May 2015,13102.5
22 May 2015,13123
23 May 2015,13148
24 May 2015,13160
25 May 2015,13160
26 May 2015,13183
27 May 2015,13222.5
28 May 2015,13180
29 May 2015,13195
30 May 2015,13220
31 May 2015,13210
01 Jun 2015,13210
02 Jun 2015,13210
03 Jun 2015,13200
04 Jun 2015,13240
05 Jun 2015,13285
06 Jun 2015,13388
07 Jun 2015,13398
08 Jun 2015,13398
09 Jun 2015,13355
10 Jun 2015,13340
11 Jun 2015,13225
12 Jun 2015,13292
13 Jun 2015,13317.5
14 Jun 2015,13320
15 Jun 2015,13320
16 Jun 2015,13332.5
17 Jun 2015,13337.5
18 Jun 2015,13337.5
19 Jun 2015,13340
20 Jun 2015,13320
21 Jun 2015,13320
22 Jun 2015,13320
23 Jun 2015,13292
24 Jun 2015,13277
25 Jun 2015,13320
26 Jun 2015,13303
27 Jun 2015,13312.5
28 Jun 2015,13332
29 Jun 2015,13332
30 Jun 2015,13327
01 Jul 2015,13352
02 Jul 2015,13335
03 Jul 2015,13293
04 Jul 2015,13355
05 Jul 2015,13350
06 Jul 2015,13350
07 Jul 2015,13295
08 Jul 2015,13358
09 Jul 2015,13365
10 Jul 2015,13320
11 Jul 2015,13317.5
12 Jul 2015,13308
13 Jul 2015,13308
14 Jul 2015,13288
15 Jul 2015,13295
16 Jul 2015,13344.5
17 Jul 2015,13345
18 Jul 2015,13355
19 Jul 2015,13360
20 Jul 2015,13360
21 Jul 2015,13350
22 Jul 2015,13369
23 Jul 2015,13422
24 Jul 2015,13440
25 Jul 2015,13470
26 Jul 2015,13440
27 Jul 2015,13440
28 Jul 2015,13478
29 Jul 2015,13443
30 Jul 2015,13448
31 Jul 2015,13521
01 Aug 2015,13490
02 Aug 2015,13505
03 Aug 2015,13505
04 Aug 2015,13467
05 Aug 2015,13512
06 Aug 2015,13512.5
07 Aug 2015,13545
08 Aug 2015,13525
09 Aug 2015,13513
10 Aug 2015,13513
11 Aug 2015,13505
12 Aug 2015,13698
13 Aug 2015,13895
14 Aug 2015,13777
15 Aug 2015,13815
16 Aug 2015,13815
17 Aug 2015,13815
18 Aug 2015,13868
19 Aug 2015,13853
20 Aug 2015,13820
21 Aug 2015,13900
22 Aug 2015,13985
23 Aug 2015,14015
24 Aug 2015,14015
25 Aug 2015,14110
26 Aug 2015,14010
27 Aug 2015,14105
28 Aug 2015,13997
29 Aug 2015,13995
30 Aug 2015,14010
31 Aug 2015,14010
01 Sep 2015,14110
02 Sep 2015,14090
03 Sep 2015,14133
04 Sep 2015,14170
05 Sep 2015,14288
06 Sep 2015,14290
07 Sep 2015,14290
08 Sep 2015,14310
09 Sep 2015,14270
10 Sep 2015,14265
11 Sep 2015,14295
12 Sep 2015,14295
13 Sep 2015,14320
14 Sep 2015,14320
15 Sep 2015,14335
16 Sep 2015,14423
17 Sep 2015,14428
18 Sep 2015,14452
19 Sep 2015,14368
20 Sep 2015,14413
21 Sep 2015,14413
22 Sep 2015,14460
23 Sep 2015,14625
24 Sep 2015,14683
25 Sep 2015,14765
26 Sep 2015,14647
27 Sep 2015,14667
28 Sep 2015,14667
29 Sep 2015,14707
30 Sep 2015,14682
01 Oct 2015,14637
02 Oct 2015,14660
03 Oct 2015,14663
04 Oct 2015,14722.5
05 Oct 2015,14722.5
06 Oct 2015,14450
07 Oct 2015,14157
08 Oct 2015,13860
09 Oct 2015,13750
10 Oct 2015,13420
11 Oct 2015,13420
12 Oct 2015,13420
13 Oct 2015,13512
14 Oct 2015,13598
15 Oct 2015,13470
16 Oct 2015,13475
17 Oct 2015,13535
18 Oct 2015,13525
19 Oct 2015,13525
20 Oct 2015,13660
21 Oct 2015,13720
22 Oct 2015,13790
23 Oct 2015,13535
24 Oct 2015,13610
25 Oct 2015,13605
26 Oct 2015,13605
27 Oct 2015,13560
28 Oct 2015,13652
29 Oct 2015,13525
30 Oct 2015,13635
31 Oct 2015,13719
01 Nov 2015,13685
02 Nov 2015,13685
03 Nov 2015,13597.5
04 Nov 2015,13575
05 Nov 2015,13540
06 Nov 2015,13555
07 Nov 2015,13715
08 Nov 2015,13660
09 Nov 2015,13660
10 Nov 2015,13702
11 Nov 2015,13595
12 Nov 2015,13607.5
13 Nov 2015,13645
14 Nov 2015,13765
15 Nov 2015,13773
