Date,Price,Open,High,Low
2014-01-01,12170.0,12170.0,12170.0,12170.0
2014-01-02,12160.0,12195.0,12260.0,12150.0
2014-01-03,12170.0,12160.0,12245.0,12160.0
2014-01-06,12180.0,12195.0,12245.0,12180.0
2014-01-07,12237.5,12197.5,12277.5,12197.5
2014-01-08,12235.0,12220.0,12250.0,12210.0
2014-01-09,12190.0,12230.0,12260.0,12190.0
2014-01-10,12161.5,12201.5,12201.5,12156.5
2014-01-13,12050.0,12130.0,12130.0,12005.0
2014-01-14,12050.0,12050.0,12050.0,12050.0
2014-01-15,12085.0,12055.0,12090.0,12025.0
2014-01-16,12117.5,12102.5,12120.5,12092.5
2014-01-17,12090.0,12125.0,12126.0,12085.0
2014-01-20,12110.0,12095.0,12120.0,12095.0
2014-01-21,12132.5,12117.5,12142.5,12117.5
2014-01-22,12140.0,12145.0,12160.0,12130.0
2014-01-23,12165.0,12155.0,12175.0,12155.0
2014-01-24,12180.0,12165.0,12185.0,12164.0
2014-01-27,12230.0,12185.0,12246.0,12180.0
2014-01-28,12190.0,12240.0,12265.0,12190.0
2014-01-29,12165.0,12185.0,12195.0,12120.0
2014-01-30,12210.0,12180.0,12245.0,12180.0
2014-01-31,12210.0,12210.0,12210.0,12210.0
2014-02-03,12240.0,12220.0,12255.0,12205.0
2014-02-04,12202.5,12207.5,12248.5,12197.5
2014-02-05,12192.5,12174.5,12194.5,12154.5
2014-02-06,12185.0,12160.0,12202.0,12149.0
2014-02-07,12160.0,12155.0,12180.0,12145.0
2014-02-10,12172.5,12142.5,12172.5,12142.5
2014-02-11,12145.0,12169.0,12179.0,12145.0
2014-02-12,12085.0,12105.0,12140.0,12065.0
2014-02-13,11975.0,12055.0,12090.0,11970.0
2014-02-14,11825.0,11975.0,11975.0,11815.0
2014-02-17,11785.0,11795.0,11795.0,11665.0
2014-02-18,11835.0,11790.0,11895.0,11790.0
2014-02-19,11770.0,11850.0,11890.0,11725.0
2014-02-20,11812.5,11777.5,11837.5,11752.5
2014-02-21,11740.0,11810.0,11815.0,11730.0
2014-02-24,11647.5,11727.5,11767.5,11632.5
2014-02-25,11667.5,11642.5,11692.5,11577.5
2014-02-26,11640.0,11665.0,11680.0,11630.0
2014-02-27,11665.0,11665.0,11695.0,11640.0
2014-02-28,11609.0,11655.0,11655.0,11590.0
2014-03-03,11589.5,11610.5,11625.5,11555.5
2014-03-04,11595.0,11615.0,11670.0,11585.0
2014-03-05,11581.5,11591.5,11596.5,11566.5
2014-03-06,11472.5,11587.5,11587.5,11467.5
2014-03-07,11439.5,11414.5,11439.5,11364.5
2014-03-10,11365.0,11455.0,11465.0,11345.0
2014-03-11,11395.0,11365.0,11415.0,11345.0
2014-03-12,11425.0,11405.0,11470.0,11395.0
2014-03-13,11382.5,11422.5,11422.5,11347.5
2014-03-14,11355.0,11405.0,11440.0,11355.0
2014-03-17,11292.5,11292.5,11302.5,11247.5
2014-03-18,11320.0,11280.0,11340.0,11270.0
2014-03-19,11314.0,11305.0,11345.0,11295.0
2014-03-20,11445.0,11355.0,11450.0,11355.0
2014-03-21,11422.5,11442.5,11447.5,11417.5
2014-03-24,11380.0,11395.0,11405.0,11370.0
2014-03-25,11392.5,11342.5,11392.5,11342.5
2014-03-26,11410.0,11375.0,11425.0,11375.0
2014-03-27,11447.5,11412.5,11447.5,11402.5
2014-03-28,11360.0,11395.0,11417.0,11360.0
2014-03-31,11360.0,11360.0,11360.0,11360.0
2014-04-01,11312.5,11272.5,11312.5,11252.5
2014-04-02,11292.5,11292.5,11312.5,11287.5
2014-04-03,11321.0,11301.0,11321.0,11291.0
2014-04-04,11316.5,11300.5,11316.5,11295.5
2014-04-07,11305.0,11286.0,11305.0,11266.0
2014-04-08,11288.5,11302.5,11312.5,11282.5
2014-04-09,11288.5,11288.5,11288.5,11288.5
2014-04-10,11354.0,11324.0,11354.0,11324.0
2014-04-11,11412.5,11402.5,11467.5,11390.5
2014-04-14,11440.0,11425.0,11450.0,11420.0
2014-04-15,11430.0,11425.0,11442.0,11415.0
2014-04-16,11434.5,11427.5,11447.5,11420.5
2014-04-17,11420.0,11420.0,11435.0,11410.0
2014-04-18,11420.0,11420.0,11420.0,11420.0
2014-04-21,11445.0,11415.0,11450.0,11415.0
2014-04-22,11520.0,11445.0,11530.0,11445.0
2014-04-23,11630.0,11535.0,11660.0,11535.0
2014-04-24,11600.0,11610.0,11630.0,11595.0
2014-04-25,11564.5,11607.5,11612.5,11557.5
2014-04-28,11580.0,11560.0,11590.0,11560.0
2014-04-29,11547.5,11572.5,11590.5,11547.5
2014-04-30,11561.5,11538.5,11573.5,11513.5
2014-05-01,11561.5,11561.5,11561.5,11561.5
2014-05-02,11522.5,11537.5,11555.5,11517.5
2014-05-05,11517.5,11502.5,11537.5,11497.5
2014-05-06,11517.0,11499.0,11524.0,11497.0
2014-05-07,11575.0,11510.0,11575.0,11509.0
2014-05-08,11560.0,11570.0,11635.0,11550.0
2014-05-09,11530.0,11533.0,11573.0,11518.0
2014-05-12,11521.0,11525.0,11550.0,11514.0
2014-05-13,11536.5,11519.5,11536.5,11516.5
2014-05-14,11445.5,11500.5,11500.5,11440.5
2014-05-15,11445.5,11445.5,11445.5,11445.5
2014-05-16,11412.5,11422.5,11440.5,11392.5
2014-05-19,11417.5,11352.5,11422.5,11340.5
2014-05-20,11487.5,11427.5,11492.5,11417.5
2014-05-21,11507.5,11492.5,11522.5,11487.5
2014-05-22,11530.5,11502.5,11530.5,11502.5
2014-05-23,11610.0,11530.0,11620.0,11530.0
2014-05-26,11577.5,11602.5,11635.5,11572.5
2014-05-27,11577.5,11577.5,11577.5,11577.5
2014-05-28,11630.0,11585.0,11630.0,11585.0
2014-05-29,11630.0,11630.0,11630.0,11630.0
2014-05-30,11675.0,11615.0,11675.0,11600.0
2014-06-02,11765.0,11705.0,11790.0,11705.0
2014-06-03,11784.0,11814.0,11829.0,11784.0
2014-06-04,11890.0,11805.0,11895.0,11795.0
2014-06-05,11855.0,11871.0,11900.0,11840.0
2014-06-06,11835.0,11785.0,11855.0,11785.0
2014-06-09,11775.5,11777.5,11802.5,11762.5
2014-06-10,11810.0,11785.0,11817.0,11785.0
2014-06-11,11810.0,11765.0,11815.0,11765.0
2014-06-12,11788.0,11807.0,11817.0,11787.0
2014-06-13,11794.5,11764.5,11794.5,11764.5
2014-06-16,11817.5,11792.5,11820.5,11792.5
2014-06-17,11892.5,11812.5,11898.5,11812.5
2014-06-18,11996.5,11901.5,12001.5,11901.5
2014-06-19,11934.0,11899.0,11944.0,11894.0
2014-06-20,11971.5,11938.5,11980.5,11938.5
2014-06-23,11990.0,11960.0,11990.0,11960.0
2014-06-24,11987.5,11982.5,12000.5,11982.5
2014-06-25,12090.0,11995.0,12095.0,11995.0
2014-06-26,12099.0,12071.0,12099.0,12071.0
2014-06-27,11995.0,12100.0,12110.0,11985.0
2014-06-30,11855.0,12010.0,12015.0,11825.0
2014-07-01,11855.0,11835.0,11900.0,11765.0
2014-07-02,11910.0,11845.0,11935.0,11805.0
2014-07-03,11917.5,11932.5,11967.5,11902.5
2014-07-04,11872.5,11917.5,11917.5,11857.5
2014-07-07,11700.0,11855.0,11855.0,11682.0
2014-07-08,11625.0,11690.0,11715.0,11595.0
2014-07-09,11625.0,11625.0,11625.0,11625.0
2014-07-10,11575.0,11555.0,11590.0,11505.0
2014-07-11,11585.0,11595.0,11635.0,11577.0
2014-07-14,11661.5,11606.5,11661.5,11601.5
2014-07-15,11735.0,11655.0,11740.0,11655.0
2014-07-16,11695.0,11765.0,11830.0,11690.0
2014-07-17,11685.0,11665.0,11710.0,11635.0
2014-07-18,11615.0,11695.0,11720.0,11604.0
2014-07-21,11570.0,11583.0,11588.0,11553.0
2014-07-22,11605.0,11535.0,11635.0,11515.0
2014-07-23,11500.0,11555.0,11555.0,11480.0
2014-07-24,11567.5,11502.5,11567.5,11502.5
2014-07-25,11577.5,11567.5,11609.5,11554.5
2014-07-28,11577.5,11577.5,11577.5,11577.5
2014-07-29,11577.5,11577.5,11577.5,11577.5
2014-07-30,11577.5,11577.5,11577.5,11577.5
2014-07-31,11577.5,11577.5,11577.5,11577.5
2014-08-01,11800.0,11605.0,11835.0,11605.0
2014-08-04,11758.0,11725.0,11765.0,11705.0
2014-08-05,11697.0,11747.0,11747.0,11682.0
2014-08-06,11750.0,11730.0,11775.0,11730.0
2014-08-07,11795.0,11765.0,11815.0,11755.0
2014-08-08,11777.5,11787.5,11842.5,11777.5
2014-08-11,11670.0,11735.0,11745.0,11660.0
2014-08-12,11687.5,11662.5,11692.5,11657.5
2014-08-13,11691.0,11676.0,11697.0,11671.0
2014-08-14,11672.5,11667.5,11697.5,11657.5
2014-08-15,11675.0,11675.0,11698.0,11667.0
2014-08-18,11684.5,11671.5,11686.5,11668.5
2014-08-19,11679.0,11678.0,11686.0,11671.0
2014-08-20,11700.0,11692.0,11717.0,11692.0
2014-08-21,11690.0,11720.0,11740.0,11690.0
2014-08-22,11678.5,11633.5,11683.5,11633.5
2014-08-25,11718.0,11692.0,11722.0,11692.0
2014-08-26,11713.0,11711.0,11721.0,11701.0
2014-08-27,11681.5,11701.5,11711.5,11676.5
2014-08-28,11700.5,11674.5,11717.5,11672.5
2014-08-29,11690.0,11715.0,11730.0,11690.0
2014-09-01,11716.0,11696.0,11716.0,11691.0
2014-09-02,11747.5,11707.5,11747.5,11707.5
2014-09-03,11765.0,11750.0,11800.0,11750.0
2014-09-04,11764.0,11751.0,11766.0,11751.0
2014-09-05,11755.0,11785.0,11785.0,11745.0
2014-09-08,11729.5,11722.5,11732.5,11715.5
2014-09-09,11766.5,11736.5,11773.5,11731.5
2014-09-10,11812.0,11765.0,11820.0,11765.0
2014-09-11,11825.0,11815.0,11840.0,11805.0
2014-09-12,11820.0,11812.0,11837.0,11807.0
2014-09-15,11927.5,11837.5,11927.5,11837.5
2014-09-16,11965.0,11905.0,11965.0,11890.0
2014-09-17,11955.0,11905.0,11960.0,11890.0
2014-09-18,11980.0,12005.0,12040.0,11980.0
2014-09-19,11967.5,11972.5,11992.5,11966.5
2014-09-22,11973.5,11961.5,11976.5,11951.5
2014-09-23,11972.5,11972.5,11992.5,11972.5
2014-09-24,11952.5,11971.5,11982.5,11937.5
2014-09-25,11978.5,11958.5,11983.5,11938.5
2014-09-26,12022.5,11982.5,12037.5,11982.5
2014-09-29,12170.0,12008.0,12170.0,12008.0
2014-09-30,12185.0,12205.0,12235.0,12155.0
2014-10-01,12127.5,12167.5,12202.5,12127.5
2014-10-02,12150.0,12145.0,12175.0,12120.0
2014-10-03,12176.5,12121.5,12176.5,12121.5
2014-10-06,12210.0,12191.0,12221.0,12191.0
2014-10-07,12202.5,12172.5,12202.5,12172.5
2014-10-08,12240.0,12185.0,12253.0,12185.0
2014-10-09,12185.0,12185.0,12200.0,12160.0
2014-10-10,12220.0,12195.0,12225.0,12195.0
2014-10-13,12216.0,12201.0,12218.0,12186.0
2014-10-14,12207.5,12202.5,12209.5,12186.5
2014-10-15,12225.0,12212.0,12237.0,12202.0
2014-10-16,12247.5,12197.5,12252.5,12197.5
2014-10-17,12106.5,12226.5,12228.5,12101.5
2014-10-20,12032.5,12052.5,12062.5,11996.5
2014-10-21,12000.0,11975.0,12005.0,11955.0
2014-10-22,12012.5,12002.5,12032.5,12002.5
2014-10-23,12060.0,12020.0,12065.0,12020.0
2014-10-24,12066.0,12059.0,12079.0,12054.0
2014-10-27,12112.5,12032.5,12112.5,12032.5
2014-10-28,12170.0,12105.0,12195.0,12100.0
2014-10-29,12080.0,12125.0,12180.0,12075.0
2014-10-30,12125.0,12105.0,12185.0,12095.0
2014-10-31,12085.0,12100.0,12125.0,12060.0
2014-11-03,12107.5,12102.5,12122.5,12089.5
2014-11-04,12107.5,12122.5,12135.5,12097.5
2014-11-05,12142.5,12102.5,12142.5,12077.5
2014-11-06,12140.0,12155.0,12195.0,12130.0
2014-11-07,12172.5,12172.5,12174.5,12132.5
2014-11-10,12152.5,12122.5,12157.5,12122.5
2014-11-11,12205.0,12155.0,12205.0,12155.0
2014-11-12,12198.5,12201.5,12216.5,12186.5
2014-11-13,12202.5,12202.5,12212.5,12182.5
2014-11-14,12211.0,12201.0,12217.0,12191.0
2014-11-17,12204.5,12172.5,12208.5,12172.5
2014-11-18,12150.0,12105.0,12160.0,12105.0
2014-11-19,12147.5,12087.5,12147.5,12087.5
2014-11-20,12175.0,12130.0,12185.0,12130.0
2014-11-21,12148.5,12143.5,12173.5,12123.5
2014-11-24,12151.5,12113.5,12153.5,12088.5
2014-11-25,12164.0,12145.0,12175.0,12145.0
2014-11-26,12175.0,12167.0,12180.0,12155.0
2014-11-27,12177.0,12169.0,12186.0,12156.0
2014-11-28,12204.0,12185.0,12210.0,12175.0
2014-12-01,12272.5,12222.5,12275.5,12222.5
2014-12-02,12270.0,12268.0,12281.0,12258.0
2014-12-03,12298.5,12271.5,12299.5,12271.5
2014-12-04,12307.5,12307.5,12321.5,12297.5
2014-12-05,12296.5,12301.5,12304.5,12291.5
2014-12-08,12348.5,12301.5,12366.5,12301.5
2014-12-09,12329.5,12347.5,12357.5,12321.5
