Date,Price,Open,High,Low
2014-01-01,115.64,115.48,115.71,115.33
2014-01-02,116.07,115.52,116.45,115.19
2014-01-03,116.07,115.9,117.58,115.84
2014-01-06,116.87,115.91,117.48,115.84
2014-01-07,116.97,116.75,117.64,116.43
2014-01-08,116.68,116.9,117.04,116.33
2014-01-09,116.28,116.56,116.97,115.95
2014-01-10,116.77,116.18,117.16,115.57
2014-01-13,116.99,116.75,117.17,115.38
2014-01-14,115.63,116.92,117.0,115.47
2014-01-15,115.58,115.55,115.96,115.2
2014-01-16,116.11,115.5,116.36,115.17
2014-01-17,115.89,116.09,116.36,115.66
2014-01-20,116.24,115.9,116.57,115.82
2014-01-21,116.31,116.17,116.64,115.69
2014-01-22,116.15,116.23,116.79,116.01
2014-01-23,117.81,116.08,118.14,115.71
2014-01-24,119.07,117.73,119.42,117.35
2014-01-27,119.26,118.91,119.68,118.75
2014-01-28,118.39,119.2,119.53,117.99
2014-01-29,118.92,118.31,119.46,117.31
2014-01-30,118.86,118.83,119.63,118.6
2014-01-31,119.67,118.8,119.75,118.54
2014-02-03,121.2,119.62,121.47,119.13
2014-02-04,120.04,121.11,121.25,119.91
2014-02-05,120.19,119.94,120.96,119.59
2014-02-06,119.34,120.1,120.38,119.13
2014-02-07,118.82,119.21,119.87,118.47
2014-02-10,119.04,118.76,119.35,118.39
2014-02-11,118.33,119.0,119.26,118.17
2014-02-12,117.86,118.27,118.57,117.64
2014-02-13,117.21,117.81,118.36,116.94
2014-02-14,116.16,117.09,117.48,115.64
2014-02-17,115.63,116.1,116.71,114.5
2014-02-18,115.61,115.45,116.38,115.05
2014-02-19,115.03,115.46,116.29,114.56
2014-02-20,115.51,114.96,116.4,114.85
2014-02-21,114.5,115.35,115.43,114.1
2014-02-24,113.61,114.43,114.68,113.42
2014-02-25,114.12,113.54,114.39,112.71
2014-02-26,113.7,114.03,114.24,113.37
2014-02-27,114.22,113.63,114.69,113.58
2014-02-28,114.04,114.17,114.61,113.42
2014-03-03,114.24,114.26,114.75,113.78
2014-03-04,113.44,114.18,114.91,113.28
2014-03-05,113.21,113.37,113.47,112.89
2014-03-06,111.31,113.16,113.31,111.11
2014-03-07,110.76,111.22,111.39,110.19
2014-03-10,110.06,111.04,111.26,109.82
2014-03-11,110.61,109.98,110.8,109.72
2014-03-12,111.18,110.53,111.51,110.53
2014-03-13,111.76,111.11,112.1,110.32
2014-03-14,112.04,111.72,112.46,111.47
2014-03-17,110.96,112.0,112.14,110.7
2014-03-18,111.58,110.93,111.87,110.54
2014-03-19,110.54,111.46,111.93,110.11
2014-03-20,111.77,110.5,112.0,110.29
2014-03-21,111.69,111.69,112.18,111.49
2014-03-24,111.31,111.7,111.9,110.78
2014-03-25,111.41,111.23,111.53,110.85
2014-03-26,111.81,111.37,112.01,111.05
2014-03-27,112.03,111.75,112.33,111.68
2014-03-28,110.47,111.98,112.23,110.23
2014-03-31,110.07,110.42,110.54,109.74
2014-04-01,109.15,109.99,110.17,108.87
2014-04-02,108.71,109.09,109.21,108.65
2014-04-03,108.93,108.67,109.06,108.5
2014-04-04,109.57,108.9,109.65,108.65
2014-04-07,109.64,109.55,109.76,109.04
2014-04-08,110.87,109.62,111.18,109.56
2014-04-09,110.69,110.85,110.98,110.44
2014-04-10,111.82,110.64,112.07,110.45
2014-04-11,112.31,111.77,112.89,111.71
2014-04-14,112.32,112.13,112.86,112.07
2014-04-15,112.14,112.25,112.63,111.91
2014-04-16,111.85,112.05,112.25,111.6
2014-04-17,111.53,111.8,112.14,111.38
2014-04-18,111.5,111.45,111.58,111.26
2014-04-21,111.53,111.37,111.66,111.18
2014-04-22,112.26,111.46,112.49,111.33
2014-04-23,113.42,112.2,113.84,112.09
2014-04-24,113.37,113.35,113.68,112.93
2014-04-25,113.19,113.3,113.52,112.81
2014-04-28,112.97,113.13,113.46,112.77
2014-04-29,112.51,112.89,113.11,112.31
2014-04-30,113.06,112.46,113.33,112.21
2014-05-01,112.97,113.03,113.21,112.88
2014-05-02,112.76,112.94,113.06,111.79
2014-05-05,112.76,112.73,113.21,112.56
2014-05-06,113.26,112.7,113.49,112.52
2014-05-07,113.57,113.23,114.04,113.11
2014-05-08,113.71,113.51,114.28,113.38
2014-05-09,113.19,113.65,113.87,113.12
2014-05-12,112.82,113.2,113.29,112.66
2014-05-13,112.82,112.73,113.04,112.58
2014-05-14,112.33,112.79,112.95,112.01
2014-05-15,112.68,112.27,112.98,112.04
2014-05-16,112.42,112.67,112.86,112.1
2014-05-19,112.47,112.3,112.94,111.59
2014-05-20,113.37,112.42,113.53,112.41
2014-05-21,113.51,113.33,114.26,113.19
2014-05-22,113.34,113.51,113.64,113.19
2014-05-23,113.86,113.3,114.15,113.13
2014-05-26,113.56,113.82,114.14,113.44
2014-05-27,113.51,113.5,113.82,113.29
2014-05-28,114.19,113.48,114.43,113.41
2014-05-29,114.25,114.13,114.67,114.09
2014-05-30,114.71,114.21,114.9,114.05
2014-06-02,114.91,114.58,115.68,114.39
2014-06-03,114.95,114.85,115.52,114.75
2014-06-04,115.72,114.89,116.07,114.71
2014-06-05,115.78,115.64,116.07,115.32
2014-06-06,115.48,115.68,115.9,115.1
2014-06-09,114.85,115.36,115.49,114.66
2014-06-10,115.39,114.81,115.54,114.75
2014-06-11,115.69,115.33,115.96,114.85
2014-06-12,115.88,115.61,116.03,115.36
2014-06-13,115.56,115.83,115.99,115.39
2014-06-16,116.04,115.44,116.18,115.44
2014-06-17,116.43,116.02,116.7,115.81
2014-06-18,117.7,116.4,117.75,116.28
2014-06-19,117.07,117.67,117.81,116.56
2014-06-20,117.28,117.0,117.59,116.96
2014-06-23,117.61,117.18,117.78,117.03
2014-06-24,117.55,117.55,117.81,117.27
2014-06-25,118.68,117.5,118.97,117.49
2014-06-26,118.93,118.61,119.21,118.59
2014-06-27,118.32,118.9,119.46,118.12
2014-06-30,117.0,118.21,118.6,116.51
2014-07-01,116.77,116.86,117.29,115.84
2014-07-02,117.0,116.67,117.56,116.08
2014-07-03,116.63,116.97,117.49,116.48
2014-07-04,116.26,116.59,116.72,116.08
2014-07-07,114.88,116.33,116.42,114.31
2014-07-08,114.44,114.79,115.11,113.88
2014-07-09,114.38,114.38,114.6,114.04
2014-07-10,114.22,114.29,114.55,113.22
2014-07-11,114.27,114.15,114.82,114.08
2014-07-14,114.84,114.18,115.03,114.14
2014-07-15,115.4,114.81,115.68,114.58
2014-07-16,115.02,115.33,116.3,114.81
