,MAE,MAPE,RMSE,DA
"7,1",0.03500000014901161,3.672,0.758,0.683
"7,2",0.02500000037252903,2.568,0.652,0.697
"7,3",0.010999999940395355,1.097,0.262,0.851
"7,4",0.010999999940395355,1.119,0.268,0.868
AVG_SLIDE7,0.021,2.114,0.485,0.775
"8,1",0.03099999949336052,3.306,0.708,0.668
"8,2",0.020999999716877937,2.171,0.503,0.758
"8,3",0.013000000268220901,1.338,0.303,0.803
"8,4",0.010999999940395355,1.121,0.27,0.856
AVG_SLIDE8,0.019,1.984,0.446,0.771
"9,1",0.026000000536441803,2.747,0.62,0.698
"9,2",0.01899999938905239,1.936,0.476,0.751
"9,3",0.014000000432133675,1.491,0.349,0.822
"9,4",0.008999999612569809,0.981,0.241,0.873
AVG_SLIDE9,0.017,1.789,0.421,0.786
"10,1",0.032999999821186066,3.411,0.795,0.666
"10,2",0.019999999552965164,2.1,0.501,0.737
"10,3",0.01600000075995922,1.699,0.41,0.785
"10,4",0.014000000432133675,1.509,0.365,0.805
AVG_SLIDE10,0.021,2.18,0.518,0.748
