,MAE,MAPE,RMSE,DA
"7,1",0.04100000113248825,4.167,1.023,0.829
"7,2",0.03799999877810478,3.887,1.079,0.837
"7,3",0.032999999821186066,3.428,0.822,0.854
"7,4",0.027000000700354576,2.732,0.676,0.882
AVG_SLIDE7,0.035,3.553,0.9,0.851
"8,1",0.04600000008940697,4.94,1.161,0.78
"8,2",0.04500000178813934,4.818,1.115,0.789
"8,3",0.03799999877810478,4.003,0.93,0.817
"8,4",0.03700000047683716,3.894,0.913,0.814
AVG_SLIDE8,0.042,4.414,1.03,0.8
"9,1",0.03799999877810478,3.921,0.949,0.833
"9,2",0.05299999937415123,5.516,1.322,0.763
"9,3",0.04100000113248825,4.311,1.001,0.816
"9,4",0.029999999329447746,3.127,0.736,0.847
AVG_SLIDE9,0.04,4.219,1.002,0.815
"10,1",0.06599999964237213,6.908,1.623,0.728
"10,2",0.052000001072883606,5.397,1.273,0.762
"10,3",0.0430000014603138,4.503,1.105,0.79
"10,4",0.03999999910593033,4.195,1.002,0.83
AVG_SLIDE10,0.05,5.251,1.251,0.778
