,MAE,MAPE,RMSE,DA
"7,1",0.04500000178813934,5.787,1.081,0.846
"7,2",0.04399999976158142,5.614,1.148,0.871
"7,3",0.029999999329447746,3.838,0.788,0.913
"7,4",0.029999999329447746,3.772,0.818,0.913
AVG_SLIDE7,0.037,4.753,0.959,0.886
"8,1",0.054999999701976776,5.84,1.379,0.808
"8,2",0.05299999937415123,5.613,1.336,0.825
"8,3",0.039000000804662704,4.113,1.075,0.887
"8,4",0.023000000044703484,2.395,0.61,0.921
AVG_SLIDE8,0.042,4.49,1.1,0.86
"9,1",0.07900000363588333,8.199,1.965,0.695
"9,2",0.0430000014603138,4.525,1.111,0.879
"9,3",0.03799999877810478,3.922,0.954,0.879
"9,4",0.03400000184774399,3.597,0.981,0.898
AVG_SLIDE9,0.049,5.061,1.253,0.838
"10,1",0.04399999976158142,4.445,1.116,0.841
"10,2",0.05999999865889549,6.01,1.555,0.788
"10,3",0.03400000184774399,3.392,0.841,0.881
"10,4",0.03999999910593033,3.989,1.091,0.898
AVG_SLIDE10,0.044,4.459,1.151,0.852
