"Date","Price","Open","High","Low","Change %"
"Jan 01, 2014","115.64","115.48","115.71","115.33","0.06%"
"Jan 02, 2014","116.07","115.52","116.45","115.19","0.38%"
"Jan 03, 2014","116.07","115.90","117.58","115.84","0.00%"
"Jan 06, 2014","116.87","115.91","117.48","115.84","0.69%"
"Jan 07, 2014","116.97","116.75","117.64","116.43","0.09%"
"Jan 08, 2014","116.68","116.90","117.04","116.33","-0.25%"
"Jan 09, 2014","116.28","116.56","116.97","115.95","-0.35%"
"Jan 10, 2014","116.77","116.18","117.16","115.57","0.42%"
"Jan 13, 2014","116.99","116.75","117.17","115.38","0.19%"
"Jan 14, 2014","115.63","116.92","117.00","115.47","-1.17%"
"Jan 15, 2014","115.58","115.55","115.96","115.20","-0.03%"
"Jan 16, 2014","116.11","115.50","116.36","115.17","0.46%"
"Jan 17, 2014","115.89","116.09","116.36","115.66","-0.19%"
"Jan 20, 2014","116.24","115.90","116.57","115.82","0.30%"
"Jan 21, 2014","116.31","116.17","116.64","115.69","0.06%"
"Jan 22, 2014","116.15","116.23","116.79","116.01","-0.13%"
"Jan 23, 2014","117.81","116.08","118.14","115.71","1.42%"
"Jan 24, 2014","119.07","117.73","119.42","117.35","1.07%"
"Jan 27, 2014","119.26","118.91","119.68","118.75","0.16%"
"Jan 28, 2014","118.39","119.20","119.53","117.99","-0.73%"
"Jan 29, 2014","118.92","118.31","119.46","117.31","0.44%"
"Jan 30, 2014","118.86","118.83","119.63","118.60","-0.05%"
"Jan 31, 2014","119.67","118.80","119.75","118.54","0.68%"
"Feb 03, 2014","121.20","119.62","121.47","119.13","1.28%"
"Feb 04, 2014","120.04","121.11","121.25","119.91","-0.95%"
"Feb 05, 2014","120.19","119.94","120.96","119.59","0.12%"
"Feb 06, 2014","119.34","120.10","120.38","119.13","-0.71%"
"Feb 07, 2014","118.82","119.21","119.87","118.47","-0.44%"
"Feb 10, 2014","119.04","118.76","119.35","118.39","0.19%"
"Feb 11, 2014","118.33","119.00","119.26","118.17","-0.59%"
