Date (GMT),Rate**
20 Oct 2014,113.32
21 Oct 2014,112.03
22 Oct 2014,112.37
23 Oct 2014,112.05
24 Oct 2014,111.37
25 Oct 2014,111.47
26 Oct 2014,111.72
27 Oct 2014,111.72
28 Oct 2014,112.43
29 Oct 2014,112.18
30 Oct 2014,111.87
31 Oct 2014,111.17
01 Nov 2014,107.66
02 Nov 2014,107.54
03 Nov 2014,107.54
04 Nov 2014,106.32
05 Nov 2014,106.73
06 Nov 2014,106.36
07 Nov 2014,106.02
08 Nov 2014,105.98
09 Nov 2014,106.38
10 Nov 2014,106.38
11 Nov 2014,106.09
12 Nov 2014,105.65
13 Nov 2014,105.65
14 Nov 2014,105.43
15 Nov 2014,104.38
16 Nov 2014,104.99
17 Nov 2014,104.99
18 Nov 2014,104.2
19 Nov 2014,103.51
20 Nov 2014,103.12
21 Nov 2014,102.58
22 Nov 2014,102.84
23 Nov 2014,103.05
24 Nov 2014,103.05
25 Nov 2014,102.47
26 Nov 2014,102.9
27 Nov 2014,103.43
28 Nov 2014,103.29
29 Nov 2014,103.25
30 Nov 2014,102.7
01 Dec 2014,102.7
02 Dec 2014,103.92
03 Dec 2014,103.13
04 Dec 2014,102.79
05 Dec 2014,102.82
06 Dec 2014,102.02
07 Dec 2014,101.26
08 Dec 2014,101.26
09 Dec 2014,102.44
10 Dec 2014,103.84
11 Dec 2014,104.26
12 Dec 2014,104.12
13 Dec 2014,106.49
14 Dec 2014,106.24
15 Dec 2014,106.24
16 Dec 2014,109.25
17 Dec 2014,109.71
18 Dec 2014,107.86
19 Dec 2014,105.32
20 Dec 2014,103.73
21 Dec 2014,104.17
22 Dec 2014,104.17
23 Dec 2014,103.91
24 Dec 2014,103.44
25 Dec 2014,103.11
26 Dec 2014,103.63
27 Dec 2014,103.67
28 Dec 2014,103.15
29 Dec 2014,103.15
30 Dec 2014,102.94
31 Dec 2014,103.94
04 Jan 2015,103.81
05 Jan 2015,103.81
06 Jan 2015,105.4
07 Jan 2015,106.72
08 Jan 2015,106.32
09 Jan 2015,105.97
10 Jan 2015,105.94
11 Jan 2015,106.23
12 Jan 2015,106.23
13 Jan 2015,106.28
14 Jan 2015,106.33
15 Jan 2015,107.63
16 Jan 2015,107.07
17 Jan 2015,107.45
18 Jan 2015,107.03
19 Jan 2015,107.03
20 Jan 2015,107.67
21 Jan 2015,106.19
22 Jan 2015,105.78
23 Jan 2015,105.34
24 Jan 2015,105.86
25 Jan 2015,105.89
26 Jan 2015,105.89
27 Jan 2015,105.45
28 Jan 2015,105.9
29 Jan 2015,106.14
30 Jan 2015,106.63
31 Jan 2015,108.95
01 Feb 2015,108.63
02 Feb 2015,108.63
03 Feb 2015,107.83
04 Feb 2015,107.24
05 Feb 2015,107.44
06 Feb 2015,107.26
07 Feb 2015,106.43
08 Feb 2015,106.37
09 Feb 2015,106.37
10 Feb 2015,106.83
11 Feb 2015,106.61
12 Feb 2015,106.79
13 Feb 2015,107.44
14 Feb 2015,107.37
15 Feb 2015,107.19
16 Feb 2015,107.19
17 Feb 2015,107.75
18 Feb 2015,107.69
19 Feb 2015,108.09
20 Feb 2015,108.35
21 Feb 2015,108.42
22 Feb 2015,107.9
23 Feb 2015,107.9
24 Feb 2015,108.68
25 Feb 2015,108.3
26 Feb 2015,108.17
27 Feb 2015,107.7
28 Feb 2015,108.6
01 Mar 2015,108.62
02 Mar 2015,108.62
03 Mar 2015,108.12
04 Mar 2015,108.55
05 Mar 2015,109.53
06 Mar 2015,108.19
07 Mar 2015,107.81
08 Mar 2015,108.32
09 Mar 2015,108.32
10 Mar 2015,107.86
11 Mar 2015,108.98
12 Mar 2015,108.56
13 Mar 2015,108.74
14 Mar 2015,109.16
15 Mar 2015,109.02
16 Mar 2015,109.02
17 Mar 2015,108.86
18 Mar 2015,108.63
19 Mar 2015,108.73
20 Mar 2015,107.94
21 Mar 2015,108.32
22 Mar 2015,108.59
23 Mar 2015,108.59
24 Mar 2015,108.34
25 Mar 2015,108.13
26 Mar 2015,108.69
27 Mar 2015,109.43
28 Mar 2015,109.47
29 Mar 2015,109.82
30 Mar 2015,109.82
31 Mar 2015,109.03
01 Apr 2015,109.03
02 Apr 2015,108.61
03 Apr 2015,108.76
04 Apr 2015,108.68
05 Apr 2015,108.42
06 Apr 2015,108.42
07 Apr 2015,108.52
08 Apr 2015,107.99
09 Apr 2015,108.2
10 Apr 2015,107.56
11 Apr 2015,107.5
12 Apr 2015,107.47
13 Apr 2015,107.47
14 Apr 2015,108.83
15 Apr 2015,108.42
16 Apr 2015,108.73
17 Apr 2015,107.85
18 Apr 2015,108.07
19 Apr 2015,108
20 Apr 2015,108
21 Apr 2015,109.12
22 Apr 2015,108.28
23 Apr 2015,107.92
24 Apr 2015,108.23
25 Apr 2015,108.88
26 Apr 2015,108.86
27 Apr 2015,108.86
28 Apr 2015,108.84
29 Apr 2015,108.79
30 Apr 2015,108.75
01 May 2015,108.45
02 May 2015,108.11
03 May 2015,108.98
04 May 2015,108.98
05 May 2015,108.31
06 May 2015,108.64
07 May 2015,109.06
08 May 2015,109.59
09 May 2015,109.13
10 May 2015,108.99
11 May 2015,108.99
12 May 2015,109.65
13 May 2015,109.82
14 May 2015,109.84
15 May 2015,109.27
16 May 2015,109.5
17 May 2015,109.47
18 May 2015,109.47
19 May 2015,109.83
20 May 2015,109.07
21 May 2015,108.08
22 May 2015,108.42
23 May 2015,108.17
24 May 2015,108.25
25 May 2015,108.25
26 May 2015,108.51
27 May 2015,107.54
28 May 2015,106.44
29 May 2015,106.63
30 May 2015,106.59
31 May 2015,106.41
01 Jun 2015,106.41
02 Jun 2015,105.86
03 Jun 2015,106.52
04 Jun 2015,106.43
05 Jun 2015,106.77
06 Jun 2015,106.61
07 Jun 2015,106.64
08 Jun 2015,106.64
09 Jun 2015,106.96
10 Jun 2015,107.21
11 Jun 2015,107.81
12 Jun 2015,107.52
13 Jun 2015,107.93
14 Jun 2015,107.95
15 Jun 2015,107.95
16 Jun 2015,108
17 Jun 2015,108.1
18 Jun 2015,107.38
19 Jun 2015,108.48
20 Jun 2015,108.65
21 Jun 2015,108.58
22 Jun 2015,108.58
23 Jun 2015,107.73
24 Jun 2015,107.22
25 Jun 2015,107.59
26 Jun 2015,107.67
27 Jun 2015,107.45
28 Jun 2015,107.62
29 Jun 2015,107.62
30 Jun 2015,108.82
01 Jul 2015,109.12
02 Jul 2015,108.26
03 Jul 2015,107.95
04 Jul 2015,108.79
05 Jul 2015,108.7
06 Jul 2015,108.7
07 Jul 2015,108.59
08 Jul 2015,109.09
09 Jul 2015,110.66
10 Jul 2015,109.78
11 Jul 2015,108.44
12 Jul 2015,108.41
13 Jul 2015,108.41
14 Jul 2015,107.7
15 Jul 2015,107.81
16 Jul 2015,107.8
17 Jul 2015,107.53
18 Jul 2015,107.64
19 Jul 2015,107.68
20 Jul 2015,107.68
21 Jul 2015,107.44
22 Jul 2015,107.99
23 Jul 2015,108.21
24 Jul 2015,108.58
25 Jul 2015,108.89
26 Jul 2015,108.56
27 Jul 2015,108.56
28 Jul 2015,109.42
